year,rain_max,temp_avg,temp_max,temp_min,hum_max,hum_min,wind_max,wind_avg,subdivision
2006,6.670967741935484,21.80308749513693,27.19032258064516,18.654838709677417,97.12903225806453,57.80645161290322,9.706451612903225,2.0752068542724222,Minas Gerais
2007,1.86625,23.04099946713907,27.649375,18.753125,87.8375,48.49375,8.749375,2.0696048704445977,Minas Gerais
2008,3.777049180327869,20.68239981785064,27.0,16.21639344262295,96.13661202185791,51.41530054644809,8.865027322404371,1.584408410548824,Minas Gerais
2009,3.3802197802197806,21.02380156075808,27.76923076923077,16.41043956043956,96.05494505494504,49.32967032967033,9.114285714285714,1.6117455008759356,Minas Gerais
2010,2.1835164835164838,21.444293206793205,28.58076923076923,16.156043956043955,95.24725274725274,44.64835164835165,9.109340659,1.4559065934065936,Minas Gerais
2011,2.601785714285714,20.95953599971457,27.735714285714284,16.318131868131868,96.06043956043956,49.252747252747255,8.974175824175823,1.557708660387232,Minas Gerais
2012,2.2557377049180327,21.03062386156648,28.40601092896175,16.00327868852459,96.06010928961749,46.36612021857923,9.0,1.4835154826958106,Minas Gerais
2013,3.079120879120879,21.088660387231812,27.97692307692308,16.38681318681319,96.8021978,49.39010989010989,8.749450549,1.4593563579277866,Minas Gerais
2014,1.6175824175824174,21.16346153846154,28.406043956043955,15.684065934065934,96.21428571428572,44.82417582417583,8.429120879120878,1.2388736263736264,Minas Gerais
2015,2.876923076923077,21.346827719382063,28.48791208791209,16.475274725274726,97.45054945054945,48.40659340659341,8.549450549,1.1934354594680685,Minas Gerais
2016,2.641860465116279,21.630402131782944,28.855232558139537,16.705232558139535,97.58720930232558,47.58720930232558,8.377906976744185,1.1583091085271318,Minas Gerais
2017,2.052459016393443,21.40462691907364,28.43360655737705,16.409016393442624,97.15573770491804,47.47540983606557,7.484426229508196,0.96946396,Minas Gerais
2018,3.5675675675675675,21.325717544467544,28.659459459459462,16.174324324324324,98.29054054054056,47.0472973,8.205405405405406,0.9010900323400324,Minas Gerais
2019,3.443956043956044,21.73353937728937,29.01098901098901,16.65879120879121,98.1153846153846,48.23076923076923,7.93021978,0.9055173992673992,Minas Gerais
2020,4.545355191256831,20.88433515482696,27.938251366120216,16.321311475409836,98.01092896174865,51.00546448087432,7.730054644808742,0.9007513661202186,Minas Gerais
2021,2.7153846153846155,20.83152472527472,28.626373626373628,15.26868131868132,97.04945054945055,44.82417582417583,7.782417582417583,0.8470695970695971,Minas Gerais
2022,3.769230769230769,20.70455586080586,28.110439560439563,15.7489011,97.35164835164836,48.54395604395605,7.898351648351649,0.9291437728937728,Minas Gerais
2023,4.106593406593406,21.04656593406593,28.732967032967032,15.90879120879121,98.5,48.85714285714285,7.793956043956044,0.812202381,Minas Gerais
